Change in time Millis,w,,Power,Change Power,,Change in time Micros,w,,Power,Chage Power 
30,209.4395102,,3371.645494,,,31426,199.9358909,,2933.17754,
31,202.683397,,3055.769472,315.8760221,,31427,199.929529,,2932.89755,0.279990219
32,196.3495408,,2778.150279,277.619193,,31428,199.9231675,,2932.617595,0.279954585
33,190.3995548,,2533.167163,244.9831158,,31429,199.9168064,,2932.337676,0.279918956
34,184.7995679,,2316.161926,217.0052371,,31430,199.9104457,,2932.057793,0.279883332
35,179.5195802,,2123.251973,192.9099531,,31431,199.9040854,,2931.777945,0.279847715
36,174.5329252,,1951.183735,172.0682379,,31432,199.8977255,,2931.498133,0.279812103
37,169.8158191,,1797.216914,153.9668211,,31433,199.891366,,2931.218356,0.279776497
38,165.3469818,,1659.032445,138.1844686,,31434,199.8850069,,2930.938616,0.279740896
39,161.1073156,,1534.65885,124.373595,,31435,199.8786482,,2930.65891,0.279705301
40,157.0796327,,1422.412943,112.2459075,,31436,199.87229,,2930.37924,0.279669712
41,153.2484221,,1320.851821,101.561122,,31437,199.8659321,,2930.099606,0.279634128
42,149.5996502,,1228.733781,92.11804013,,31438,199.8595746,,2929.820008,0.27959855
43,146.1205885,,1144.986332,83.74744811,,31439,199.8532176,,2929.540445,0.279562978
44,142.7996661,,1068.679897,76.30643559,,31440,199.8468609,,2929.260917,0.279527411
45,139.6263402,,999.0060722,69.67382461,,31441,199.8405047,,2928.981426,0.27949185
46,136.5909849,,935.2595991,63.74647319,,31442,199.8341488,,2928.701969,0.279456295
47,133.6847938,,876.8233275,58.43627153,,31443,199.8277934,,2928.422549,0.279420745
48,130.8996939,,823.1556381,53.66768938,,31444,199.8214383,,2928.143163,0.279385201
49,128.2282716,,773.7798735,49.37576468,,31445,199.8150837,,2927.863814,0.279349662
50,125.6637061,,728.2754267,45.5044468,,31446,199.8087295,,2927.5845,0.27931413
51,123.1997119,,686.2702002,42.00522642,,31447,199.8023757,,2927.305221,0.279278603
52,120.8304867,,647.4342024,38.83599783,,31448,199.7960222,,2927.025978,0.279243081
53,118.5506662,,611.4740916,35.96011083,,31449,199.7896692,,2926.74677,0.279207565
54,116.3552835,,578.128514,33.34557756,,31450,199.7833166,,2926.467598,0.279172055
55,114.2397329,,547.1641072,30.96440684,,31451,199.7769644,,2926.188462,0.279136551
56,112.1997376,,518.3720637,28.79204352,,31452,199.7706126,,2925.909361,0.279101052
57,110.2313212,,491.565169,26.80689472,,31453,199.7642612,,2925.630295,0.279065558
58,108.3307812,,466.5752405,24.9899284,,31454,199.7579102,,2925.351265,0.279030071
59,106.4946662,,443.2509085,23.32433206,,31455,199.7515596,,2925.07227,0.278994589
60,104.7197551,,421.4556867,21.79522175,,31456,199.7452094,,2924.793311,0.278959113
61,103.0030378,,401.0662934,20.38939337,,31457,199.7388596,,2924.514388,0.278923642
62,101.3416985,,381.971184,19.09510939,,31458,199.7325102,,2924.235499,0.278888177
63,99.73310011,,364.0692683,17.90191566,,31459,199.7261613,,2923.956647,0.278852718
64,98.17477042,,347.2687848,16.80048347,,31460,199.7198127,,2923.67783,0.278817264
65,96.66438934,,331.4863116,15.7824732,,31461,199.7134645,,2923.399048,0.278781816
66,95.19977738,,316.6458954,14.84041627,,31462,199.7071167,,2923.120301,0.278746373
67,93.77888518,,302.6782827,13.96761268,,31463,199.7007694,,2922.84159,0.278710936
68,92.39978393,,289.5202407,13.15804195,,31464,199.6944224,,2922.562915,0.278675505
69,91.06065663,,277.1139553,12.40628546,,31465,199.6880759,,2922.284275,0.278640079
70,89.7597901,,265.4064966,11.70745868,,31466,199.6817297,,2922.00567,0.278604659
71,88.49556771,,254.3493448,11.05715184,,31467,199.675384,,2921.727101,0.278569245
72,87.2664626,,243.8979669,10.45137791,,31468,199.6690386,,2921.448567,0.278533836
73,86.07103161,,234.0114399,9.886526911,,31469,199.6626937,,2921.170069,0.278498433
74,84.90790956,,224.6521142,9.359325724,,31470,199.6563491,,2920.891606,0.278463036
75,83.7758041,,215.7853116,8.866802617,,31471,199.650005,,2920.613178,0.278427644
76,82.67349088,,207.3790557,8.406255954,,31472,199.6436613,,2920.334786,0.278392258
77,81.59980918,,199.4038292,7.975226501,,31473,199.6373179,,2920.056429,0.278356877
78,80.55365778,,191.8323563,7.571472879,,31474,199.630975,,2919.778107,0.278321502
79,79.53399123,,184.6394065,7.192949788,,31475,199.6246325,,2919.499821,0.278286133
,,,,BAD!!! D:,,,,,,Much Better
